CENTRAL DISTRIBUTION CENTER,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF November 05, 2021",,,,,,
ITEM CODE,VARIANT CODE,DESCRIPTION,UOM, QUANTITY , COST W/O VAT , TOTAL COST 
100556,,SMART DW PASTE LEMON 36/400G,PCS,25236,26.58,"670,718.87"
100557,,PRIDE BAR KALAMANSI 36/400G,BAR,10152,13.88,"140,924.28"
100559,,UNIQUE TP MAXIMUM 108x50ML,PCS,324,16.59,"5,375.16"
100560,,UNIQUE TP MAXIMUM 72x100ML,PCS,432,28.27,"12,212.95"
100561,,UNIQUE TP MAXIMUM 48x150ML,PCS,192,41.07,"7,885.72"
100562,,UNIQUE TP ADVANCE ORAL CARE 108x50ML,PCS,324,15.74,"5,100.92"
100563,,UNIQUE TP ADVANCE ORAL CARE 72x100ML,PCS,360,28.27,"10,177.46"
100564,,UNIQUE TP ADVANCE ORAL CARE 48x150ML,PCS,96,39.95,"3,835.34"
100576,,SPRINTER BRF/SUPER PAN 1KL,PACK,300,74.14,"22,241.52"
100577,,SUPER 7 ANTI AMAG  1KL,PACK,24,210.09,"5,042.14"
100578,,SWALLOW MISUA WHITE 12s,PACK,500,15,"7,500.00"
100579,,SQUID SPECIAL ODONG 40/12s,PACK,200,18.3,"3,660.71"
100580,,ZOY INSTANT STARCH 400s,PCS,2800,1.43,"4,000.00"
100602,,ROYAL CHOICE JOLLY OLE CHF AP FLOUR 48x200G,BOX,192,16,"3,072.22"
100604,,ROGERS SALAD DRESSING 24/225ML,JAR,96,31.25,"3,000.00"
100605,,ROYAL CHOICE JOLLY OLE CORNSTARCH 72x75G,BOX,720,6.87,"4,943.56"
100606,,ROYAL CHOICE JOLLY OLE CORNSTARCH 48/200G,BOX,624,12.93,"8,066.74"
100608,,ALLATIN IODIZED SALT 60/250G,PACK,360,4.69,"1,689.07"
100609,,ROYAL CHOICE/ALLATIN IODZ ROCK SALT 50x500G,PACK,100,6.47,646.92
100619,,BAMBI COOKING OIL 48/350ML,BOT,48,50.74,"2,435.37"
100626,,ACLEM ONIONSKIN PINK SHORT S9,REAM,4,53.39,213.57
100649,,ALASKA SWEETENED CONDENSED FILLED MILK 168ML,CAN,336,30.98,"10,409.13"
100652,,ALASKA EVAPORATED FILLED MILK 48/370ML,CAN,13304,31.73,"422,152.68"
100657,,ALASKA LOW FAT MILK 12/1L,BOX,396,63.71,"25,227.37"
100660,,LIGO PREM SARD TS WITH CHILI 100/155G,CAN,1000,18.26,"18,259.50"
100667,,LIGO SARDINES TOMATO SAUCE GREEN 48/425G,CAN,720,35.98,"25,908.75"
100668,,LIGO SARDINES RED CHILI 48/425G,CAN,384,36.16,"13,883.80"
100672,,LIGO SARDINES GATA STYLE 48/155G,CAN,432,24.85,"10,733.63"
100673,,LIGO SQUID IN NATURAL INK 48/425G,CAN,336,56.72,"19,057.32"
100675,,LIGO SQUID IN NATURAL INK 100/155G,CAN,200,25.66,"5,132.40"
100678,,LIGO CARNE NORTE 48/210G,CAN,240,26.01,"6,242.78"
100707,,GOLDEN OATS QUICK COOKING 48/200G,PACK,1344,22.57,"30,328.21"
100708,,GOLDEN OATS QUICK 24x400G,PACK,1296,38.8,"50,278.44"
100709,,GOLDEN OATS QUICK 12x800G,PACK,576,70.59,"40,658.14"
100710,,GOLDEN OATS INSTANT 48/200G,PACK,2256,24.68,"55,672.85"
100711,,GOLDEN OATS INSTANT 24x400G,PACK,1968,41.57,"81,817.85"
100712,,GOLDEN OATS INSTANT 12x800G,PACK,1560,74.81,"116,705.29"
100713,,GOLDEN OATS PLUS CHOCOLATE 48/200G,PACK,768,31.13,"23,904.00"
100714,,GOLDEN OATS PLUS VIT E OMEGA 3 N 6 48/200G,PACK,432,31.13,"13,446.00"
100715,,GOLDEN OATS PLUS VIT E OMEGA 3 N 6 24/400G,PACK,336,56.32,"18,924.00"
100724,,RED STAR YEAST 12/800G,PACK,444,139.88,"62,107.14"
100758,,LION TIGER REGULAR MINI 60BOX,BOX,18240,12.47,"227,457.18"
100759,,LION TIGER JUNIOR SIZE 72BOX,BOX,16848,11.48,"193,446.88"
100760,,LION TIGER REGULAR BOX,BOX,84780,12.79,"1,084,561.71"
100767,,MINOLA PREM COCONUT OIL TP 6x2/925ML Sv25,PACK,288,270.98,"78,042.86"
100792,,ENFAMAMA Aplus CHOCO BIB 350G,BOX,672,300.82,"202,151.00"
100801,,ENFAGROW A+ KID/FOUR 350G,BOX,144,296.95,"42,761.13"
100809,,STREPSILS HONEY LEMON 12x2s,PACK,901,13.71,"12,355.71"
100811,,DUREX CONDOMS LOVE 24x3s,BOX,55,37.05,"2,037.73"
100817,,BAYGON INSECT SPRAY KB GREEN 36/250ML,BOT,288,75.21,"21,659.83"
100818,,BAYGON INSECT SPRAY KB GREEN 24/500ML,BOT,216,132.53,"28,625.62"
100820,,BAYGON INSECT SPRAY WATER BASED 36/250ML,BOT,540,75.21,"40,612.13"
100821,,BAYGON INSECT SPRAY WATER BASED 24/500ML,BOT,240,128.23,"30,774.70"
100824,,BAYGON MULTI INSCT KILLER AERO WB 12/300ML,PCS,792,143.25,"113,453.75"
100825,,BAYGON MULTI INSCT KILLER AERO WB 12x500ML,PCS,576,207.8,"119,693.29"
100826,,BAYGON MULTI INSECT KILLER AERO WB 12x600ML,PCS,444,240.04,"106,577.43"
100828,,BAYGON COCKROACH KILLER AEROSOL 12/300ML,PCS,84,143.27,"12,034.95"
100829,,BAYGON COCKROACH KILLER AEROSOL 12x450/500ML,PCS,300,207.8,"62,340.24"
100830,,BAYGON 24 HOUR ROACH KILLER 24/6,PCS,144,154.08,"22,187.32"
100832,,RACUMIN PASTE 120X100G,BOX,120,89.66,"10,758.82"
100833,,RACUMIN BAIT 180/50G,BOX,180,45.04,"8,108.10"
100834,,RACUMIN BAIT 120/100G,BOX,120,70.05,"8,405.77"
100835,,RACUMIN BAIT  60/200G,BOX,300,119.9,"35,969.06"
100836,,BLATTANEX COCKROACH GEL 72x12G,PCS,72,211.17,"15,204.11"
100841,,BAYGON MULTI INSECT KILLER KB 12/500ML,PCS,744,207.8,"154,603.79"
100842,,BAYGON MULTI INSECT KILLER KB 12/600ML,PCS,420,240.04,"100,816.47"
100846,,BAYGON FLY PAPER 50sheet,PCS,3000,18.94,"56,827.83"
100888,,CLASSIC PETALS TOOTHPICK 576/550stick,BOX,2880,4.69,"13,500.00"
