PLAZA MARCELA -SM,,,,,,
INVENTORY VALUATION REPORT,,,,,,
"AS OF NOVEMBER 5, 2021",,,,,,
INCODE,VARIANT,DESC,UNIT,QUANTITY,COST W/O VAT,AMOUNT W/O VAT
100521,,RAM SWEET PICKLE CHIPS 24/135G,BOT,3,36.22167,108.66501
100529,,SEVILLA RAISINS 24/200G,PACK,68,60.24947,"4,096.96"
100532,,PAPA BANANA CATSUP REGULAR 24/320G,BOT,920,17.36793,"15,978.50"
100533,,PAPA BANANA CATSUP REGULAR 8/1/2 GAL,BOT,168,74.52121,"12,519.56"
100534,,PAPA BANANA CATSUP REGULAR 4/1GAL,GAL,93,142.37947,"13,241.29"
100535,,MOTHERS BEST BANANA KETCHUP 24x340G,BOT,70,12.03125,842.1875
100537,,MOTHERS BEST BANANA KETCHUP 4/1GAL,GAL,3,100.625,301.875
100539,,DATU PUTI SOY SAUCE 24/385ML,BOT,3,15.70275,47.10825
100541,,DATU PUTI SOY SAUCE 12/1000ML,BOT,31,38.69643,"1,199.59"
100546,,CHARANTIA AMPALAYA TEA BAGS 20/35G,PCS,2,8.99554,17.99108
100547,,STARWAX COLORLESS 72/90G,PCS,67,10.15712,680.52704
100548,,STARWAX NATURAL 72/90G,PCS,355,10.15712,"3,605.78"
100549,,STARWAX RED 24/450G,PCS,52,67.0372,"3,485.93"
100550,,STARWAX RED 12/900G,PCS,23,128.65699,"2,959.11"
100551,,STARWAX DYE WAX RED 72/90G,PCS,204,10.49566,"2,141.11"
100552,,STARWAX DYE WAX RED 12/900G,CAN,14,125.71458,"1,760.00"
100553,,PRIDE DET POWDER POWER WASH 12x1000G,BOX,74,61.61979,"4,559.86"
100554,,PRIDE DET POWDER POWER WASH 6x2000G,BOX,31,121.88542,"3,778.45"
100555,,PRIDE DET POWDER POWER WASH 24x500G,BOX,133,31.48698,"4,187.77"
100556,,SMART DW PASTE LEMON 36/400G,PCS,305,26.40848,"8,054.59"
100557,,PRIDE BAR KALAMANSI 36/400G,BAR,817,13.88145,"11,341.14"
100558,,PRIDE BAR WHITE 1/4 CUT 144/100G,PCS,"2,797.00",3.555,"9,943.34"
100559,,UNIQUE TP MAXIMUM 108x50ML,PCS,112,15.74355,"1,763.28"
100562,,UNIQUE TP FRESH BREATH 108x50ML,PCS,59,14.28571,842.85689
100563,,UNIQUE TP FRESH BREATH 72x100ML,PCS,67,27.01798,"1,810.20"
100576,,SPRINTER BRF/SUPER PAN 1KL,PACK,11,75.47768,830.25448
100578,,SWALLOW MISUA WHITE 12s,PACK,13,12.76786,165.98218
100579,,SQUID SPECIAL ODONG 40/12s,PACK,-1,16.18304,-16.18304
100580,,ZOY INSTANT STARCH 400s,PCS,572,1.41964,812.03408
100585,,AJINOMOTO PANDA RED PCK 100G,PACK,122,16.41555,"2,002.70"
100586,,AJINOMOTO SHAKER 100G,BOT,48,28.39286,"1,362.86"
100587,,AJINOMOTO PANDA 1KG,PACK,61,133.18452,"8,124.26"
100588,,AJINOMOTO PANDA RED 50G,PCS,"1,093.00",8.68056,"9,487.85"
100590,,AJINOMOTO 24G/22G,PCS,57,3.69643,210.69651
100592,,AJINOMOTO PANDA ORANGE 500G,PACK,76,70.79613,"5,380.51"
100596,,AJI SHIO GARLIC PLUS 18G,PCS,"1,032.00",3.6875,"3,805.50"
100599,,AJI SHIO PEPPER PLUS 18G,PCS,-4,3.6875,-14.75
100600,,AJINOMOTO GINISA ORIGINAL FLAVOR MIX 7G,PCS,"3,645.00",1.42857,"5,207.14"
100601,,ALEXAN TWISSORS NO 180,PCS,11,5.58083,61.38913
100602,,ROYAL CHOICE JOLLY OLE CHF AP FLOUR 48x200G,BOX,142,16,"2,272.00"
100604,,ROGERS SALAD DRESSING 24/225ML,JAR,1,30.58036,30.58036
100605,,ROYAL CHOICE JOLLY OLE CORNSTARCH 72x75G,BOX,179,6.86607,"1,229.03"
100606,,ROYAL CHOICE JOLLY OLE CORNSTARCH 48/200G,BOX,76,12.92746,982.48696
100607,,ROYAL CHOICE/ALLATIN IODIZED SALT 50x500G,PACK,16,9.00036,144.00576
100608,,ALLATIN IODIZED SALT 60/250G,PACK,181,4.69182,849.21942
100609,,ROYAL CHOICE/ALLATIN IODZ ROCK SALT 50x500G,PACK,159,6.46911,"1,028.59"
100617,,BAMBI COOKING OIL PREMIUM 10/1/2 GAL,½GAL,68,236.04286,"16,050.91"
100618,,BAMBI COOKING OIL PREMIUM 6/1GAL,GAL,65,412.51786,"26,813.66"
100619,,BAMBI COOKING OIL 48/350ML,BOT,267,25.95536,"6,930.08"
100626,,ACLEM ONIONSKIN PINK SHORT S9,REAM,-,58,-
100648,,ALASKA CHOCOLATE UHT 185ML,BOX,392,13.91071,"5,453.00"
100649,,ALASKA SWEETENED CONDENSED FILLED MILK 168ML,CAN,206,30.21298,"6,223.87"
100650,,ALASKA SWEETENED CONDENSED FILLED MILK 300ML,CAN,334,43.21782,"14,434.75"
100651,,ALASKA CONDENSADA 48/300ML,CAN,662,32.83166,"21,734.56"
100652,,ALASKA EVAPORATED FILLED MILK 48/370ML,CAN,178,30.85714,"5,492.57"
100653,,ALASKA POWDER FILLED MILK 144/80G,PACK,"1,224.00",21.74888,"26,620.63"
100655,,JUJU FFC BARBIE HAIR DRYER WTR SQURTR 144x15G,PCS,94,273.17857,"25,678.79"
100657,,ALASKA SLIM LOW FAT MILK 12/1L,BOX,84,62.17188,"5,222.44"
100661,,LIGO SARDINES AFRITADA 48/155G,CAN,65,17.39286,"1,130.54"
100663,,LIGO SARDINES CALDERETA 48/155G,CAN,94,17.11607,"1,608.91"
100668,,LIGO SARDINES RED CHILI 48/425G,CAN,5,36.15573,180.77865
100673,,LIGO SQUID IN NATURAL INK 48/425G,CAN,49,56.71823,"2,779.19"
100677,,LIGO CARNE NORTE 48/175G,CAN,4,18.97321,75.89284
100678,,LIGO CARNE NORTE 48/210G,CAN,87,26.01156,"2,263.01"
100681,,LIGO CORNED BEEF SPICY 48/175G,CAN,24,23.25,558
100707,,GOLDEN OATS QUICK COOKING 48/200G,PACK,155,22.56566,"3,497.68"
100708,,GOLDEN OATS QUICK 24x400G,PACK,87,38.79502,"3,375.17"
100709,,GOLDEN OATS QUICK 12x800G,PACK,52,70.58705,"3,670.53"
100710,,GOLDEN OATS INSTANT 48/200G,PACK,111,24.67764,"2,739.22"
100711,,GOLDEN OATS INSTANT 24x400G,PACK,147,41.57403,"6,111.38"
100712,,GOLDEN OATS INSTANT 12x800G,PACK,41,74.81101,"3,067.25"
100713,,GOLDEN OATS PLUS CHOCOLATE 48/200G,PACK,27,31.125,840.375
100714,,GOLDEN OATS PLUS VIT E OMEGA 3 N 6 48/200G,PACK,46,31.125,"1,431.75"
