ISLAND CITY MALL,,,,,,
POS UNPOSTED SALES,,,,,,
"As of APRIL 27, 2022",,,,,,
Item No.,Variant Code,Description,UOM,Quantity,Cost w/o VAT,Total Cost w/o VAT
101749,,LOTUS NO 3 C BAG,PACK,-89,8.90125,-792.21125
101751,,LOTUS NO 5 C BAG,PACK,-76,11.83078,-899.13928
101752,,LOTUS No6 CNTR BAG,PACK,-6,11.69643,-70.17858
101807,,GIG BB WPS UNS 30s,PACK,-18,33.07553,-595.35954
101817,,MIC ISO 40P 180ML,PCS,-2,17.97786,-35.95572
101818,,MIC ISO 40P 470ML,PCS,-4,31.57723,-126.30892
101820,,MIC ISO 70P 470ML,PCS,-4,38.91602,-155.66408
101821,,MIC BB COL P 50ML,PCS,-4,19.95889,-79.83556
101823,,MIC BB COL B 50ML,PCS,-1,19.55141,-19.55141
101840,,LV HB LOT PNK 250ML,PCS,-8,48.64794,-389.18352
101842,,LV HB LOT YEL 125ML,PCS,-3,30.64721,-91.94163
101843,,LV HB LOT YEL 250ML,PCS,-6,48.76283,-292.57698
101845,,LV WHT LOT AV 125M,PCS,-1,32.91624,-32.91624
101848,,LV W LOT PPYA 125ML,PCS,-7,32.84251,-229.89757
101853,,LV WLOT PPNO 125M,PCS,-2,33.43886,-66.87772
101854,,LV WLOT PPNO 250ML,PCS,-4,49.9594,-199.8376
101864,,MIC ALOE SH G 500ML,PCS,-6,52.60801,-315.64806
101866,,MIC BB PWDR P 100G,PCS,-2,14.06688,-28.13376
101867,,MICH BB PWDR P 200G,PCS,-16,23.9134,-382.6144
101868,,M BB PWDR BLUE 50G,PCS,-3,8.5793,-25.7379
